m,TagName,
"2010-12-01 00:00:00","javascript","4948"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","ruby","1022"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","swift","2"
"2010-12-01 00:00:00","php","5398"
"2010-12-01 00:00:00","r","223"
"2011-01-01 00:00:00","c","1462"
"2011-01-01 00:00:00","delphi","370"
"2011-01-01 00:00:00","assembly","135"
"2011-01-01 00:00:00","c#","7990"
"2011-01-01 00:00:00","java","6543"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","perl","480"
"2011-01-01 00:00:00","javascript","5428"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","c++","3500"
"2011-01-01 00:00:00","php","6444"
"2011-01-01 00:00:00","python","2905"
"2011-01-01 00:00:00","swift","3"
"2011-01-01 00:00:00","ruby","1204"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","java","6875"
"2011-02-01 00:00:00","c#","8230"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","php","6723"
"2011-02-01 00:00:00","assembly","145"
"2011-02-01 00:00:00","c++","3449"
"2011-02-01 00:00:00","c","1641"
"2011-02-01 00:00:00","ruby","1252"
"2011-02-01 00:00:00","perl","483"
"2011-02-01 00:00:00","swift","4"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","python","3015"
"2011-02-01 00:00:00","delphi","360"
"2011-03-01 00:00:00","php","8123"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","python","3751"
"2011-03-01 00:00:00","javascript","6769"
"2011-03-01 00:00:00","c#","9996"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","c++","4181"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","java","8481"
"2011-03-01 00:00:00","swift","3"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","r","422"
"2011-04-01 00:00:00","java","7902"
"2011-04-01 00:00:00","delphi","402"
"2011-04-01 00:00:00","perl","553"
"2011-04-01 00:00:00","c#","9287"
"2011-04-01 00:00:00","c","2042"
"2011-04-01 00:00:00","php","7671"
"2011-04-01 00:00:00","assembly","158"
"2011-04-01 00:00:00","c++","4169"
"2011-04-01 00:00:00","javascript","6878"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1477"
"2011-04-01 00:00:00","python","3348"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","c++","3886"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c#","10026"
"2011-05-01 00:00:00","java","8571"
"2011-05-01 00:00:00","javascript","7310"
"2011-05-01 00:00:00","delphi","477"
"2011-05-01 00:00:00","go","37"
"2011-05-01 00:00:00","c","1826"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","php","8116"
"2011-05-01 00:00:00","swift","1"
"2011-05-01 00:00:00","perl","582"
"2011-05-01 00:00:00","python","3520"
"2011-05-01 00:00:00","r","427"
"2011-06-01 00:00:00","python","3475"
"2011-06-01 00:00:00","c#","9775"
"2011-06-01 00:00:00","assembly","140"
"2011-06-01 00:00:00","javascript","7687"
"2011-06-01 00:00:00","c","1766"
"2011-06-01 00:00:00","c++","3817"
"2011-06-01 00:00:00","perl","570"
"2011-06-01 00:00:00","ruby","1560"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","java","7919"
"2011-06-01 00:00:00","php","8063"
"2011-06-01 00:00:00","swift","4"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","r","444"
"2011-07-01 00:00:00","c#","9618"
"2011-07-01 00:00:00","javascript","8114"
"2011-07-01 00:00:00","java","8171"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","c++","3853"
"2011-07-01 00:00:00","php","8724"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1659"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","perl","661"
"2011-07-01 00:00:00","delphi","430"
"2011-07-01 00:00:00","swift","12"
"2011-07-01 00:00:00","python","3667"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","python","3834"
"2011-08-01 00:00:00","javascript","8910"
"2011-08-01 00:00:00","delphi","424"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","10084"
"2011-08-01 00:00:00","c++","3955"
"2011-08-01 00:00:00","java","8703"
"2011-08-01 00:00:00","php","8969"
"2011-08-01 00:00:00","perl","617"
"2011-08-01 00:00:00","ruby","1860"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","c","1918"
"2011-09-01 00:00:00","python","3522"
"2011-09-01 00:00:00","javascript","8202"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","ruby","1551"
"2011-09-01 00:00:00","java","8346"
"2011-09-01 00:00:00","c#","9318"
"2011-09-01 00:00:00","c++","3949"
"2011-09-01 00:00:00","swift","6"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","php","8101"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","go","26"
"2011-10-01 00:00:00","java","8571"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","c++","4356"
"2011-10-01 00:00:00","javascript","8040"
"2011-10-01 00:00:00","perl","559"
"2011-10-01 00:00:00","c#","9238"
"2011-10-01 00:00:00","c","2139"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","php","8100"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","python","3629"
"2011-10-01 00:00:00","ruby","1618"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","210"
"2011-11-01 00:00:00","javascript","8691"
"2011-11-01 00:00:00","java","9663"
"2011-11-01 00:00:00","c#","9926"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","c++","4490"
"2011-11-01 00:00:00","c","2202"
"2011-11-01 00:00:00","go","66"
"2011-11-01 00:00:00","php","8719"
"2011-11-01 00:00:00","ruby","1741"
"2011-11-01 00:00:00","perl","610"
"2011-11-01 00:00:00","swift","4"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","607"
"2011-12-01 00:00:00","java","9222"
"2011-12-01 00:00:00","php","8373"
"2011-12-01 00:00:00","c#","9329"
"2011-12-01 00:00:00","delphi","574"
"2011-12-01 00:00:00","c","2006"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","javascript","8346"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","perl","541"
"2011-12-01 00:00:00","c++","4365"
"2011-12-01 00:00:00","python","3626"
"2011-12-01 00:00:00","swift","2"
"2011-12-01 00:00:00","ruby","1688"
"2012-01-01 00:00:00","java","10160"
"2012-01-01 00:00:00","javascript","9613"
"2012-01-01 00:00:00","c#","10475"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","assembly","170"
"2012-01-01 00:00:00","php","9356"
"2012-01-01 00:00:00","c++","4552"
"2012-01-01 00:00:00","c","2233"
"2012-01-01 00:00:00","perl","569"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1909"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","python","4214"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","233"
"2012-02-01 00:00:00","javascript","9994"
"2012-02-01 00:00:00","python","4496"
"2012-02-01 00:00:00","java","10973"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","c++","5110"
"2012-02-01 00:00:00","c#","10773"
"2012-02-01 00:00:00","c","2410"
"2012-02-01 00:00:00","php","9975"
"2012-02-01 00:00:00","perl","615"
"2012-02-01 00:00:00","ruby","2050"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","swift","9"
"2012-02-01 00:00:00","r","813"
"2012-03-01 00:00:00","delphi","499"
"2012-03-01 00:00:00","c++","5245"
"2012-03-01 00:00:00","java","12419"
"2012-03-01 00:00:00","assembly","261"
"2012-03-01 00:00:00","c#","11618"
"2012-03-01 00:00:00","c","2739"
"2012-03-01 00:00:00","javascript","10720"
"2012-03-01 00:00:00","php","10933"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","perl","609"
"2012-03-01 00:00:00","python","5048"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2195"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","java","12054"
"2012-04-01 00:00:00","assembly","275"
"2012-04-01 00:00:00","php","10453"
"2012-04-01 00:00:00","c","2672"
"2012-04-01 00:00:00","c++","5313"
"2012-04-01 00:00:00","perl","602"
"2012-04-01 00:00:00","c#","11141"
"2012-04-01 00:00:00","python","4926"
"2012-04-01 00:00:00","javascript","10694"
"2012-04-01 00:00:00","r","843"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","ruby","1972"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c++","4989"
"2012-05-01 00:00:00","c#","11594"
"2012-05-01 00:00:00","java","12203"
"2012-05-01 00:00:00","delphi","481"
"2012-05-01 00:00:00","javascript","11529"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","c","2485"
"2012-05-01 00:00:00","perl","649"
"2012-05-01 00:00:00","ruby","1979"
"2012-05-01 00:00:00","php","10972"
"2012-05-01 00:00:00","r","876"
"2012-05-01 00:00:00","swift","6"
"2012-05-01 00:00:00","python","5107"
"2012-06-01 00:00:00","java","11122"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","c#","11333"
"2012-06-01 00:00:00","javascript","11246"
"2012-06-01 00:00:00","assembly","203"
"2012-06-01 00:00:00","c","2312"
"2012-06-01 00:00:00","c++","4656"
"2012-06-01 00:00:00","php","10614"
"2012-06-01 00:00:00","python","5281"
"2012-06-01 00:00:00","perl","745"
"2012-06-01 00:00:00","ruby","1891"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","swift","4"
"2012-06-01 00:00:00","r","974"
"2012-07-01 00:00:00","delphi","441"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c++","5287"
"2012-07-01 00:00:00","c","2374"
"2012-07-01 00:00:00","c#","12335"
"2012-07-01 00:00:00","java","12268"
"2012-07-01 00:00:00","python","5733"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","javascript","12317"
"2012-07-01 00:00:00","perl","668"
"2012-07-01 00:00:00","swift","6"
"2012-07-01 00:00:00","r","1120"
"2012-07-01 00:00:00","php","11778"
"2012-07-01 00:00:00","ruby","2063"
"2012-08-01 00:00:00","php","11930"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c#","11961"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","c++","5166"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","python","5871"
"2012-08-01 00:00:00","c","2322"
"2012-08-01 00:00:00","javascript","12436"
"2012-08-01 00:00:00","perl","769"
"2012-08-01 00:00:00","ruby","2063"
"2012-08-01 00:00:00","java","12264"
"2012-08-01 00:00:00","swift","4"
"2012-08-01 00:00:00","r","1089"
"2012-09-01 00:00:00","javascript","11171"
"2012-09-01 00:00:00","c","2533"
"2012-09-01 00:00:00","c#","11287"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","java","11634"
"2012-09-01 00:00:00","c++","4916"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","php","11029"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","perl","670"
"2012-09-01 00:00:00","python","5260"
"2012-09-01 00:00:00","r","1060"
"2012-09-01 00:00:00","ruby","1960"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","c#","12739"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","c++","5918"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","javascript","12429"
"2012-10-01 00:00:00","assembly","316"
"2012-10-01 00:00:00","c","3154"
"2012-10-01 00:00:00","python","6138"
"2012-10-01 00:00:00","java","13514"
"2012-10-01 00:00:00","php","11834"
"2012-10-01 00:00:00","swift","4"
"2012-10-01 00:00:00","perl","693"
